timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2022-10-27T10:20:02,codecarbon,d6134c7e-7f72-4aa8-ab43-d9e35e05873c,0.5927608013153076,8.248263426458411e-07,0.0013914994730008,42.5,7.187,2.9440126419067383,6.986057427194384e-06,8.860725382963817e-08,3.5907238336676527e-08,7.110571919360698e-06,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.0,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5168,55.7143,7.850700378417969,machine,N
2022-10-31T22:47:53,codecarbon,d0041197-c6ca-4c52-94cb-d94848453d50,1.4853765964508057,2.3485612353246893e-06,0.0015811217444359,42.5,7.31,2.9440126419067383,1.7529787951045568e-05,1.9368115908569764e-06,7.796180039999475e-07,2.024621754590249e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T22:49:40,codecarbon,4db1f8c0-fc11-4833-8caa-30df8e371943,1.4829888343811035,2.3314544845698458e-06,0.0015721321904239,42.5,7.237,2.9440126419067383,1.7472163339455925e-05,1.867061379286978e-06,7.595208378936983e-07,2.00987455566366e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T22:51:15,codecarbon,a69e9e32-95e8-42ca-bdc3-ab0440c5c670,6.073474884033203,1.0771791048915847e-05,0.0017735795824618,42.5,10.884000000000002,2.9440126419067383,7.168889823887084e-05,1.6664241644541425e-05,4.5071277796553965e-06,9.286026766306766e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T22:54:46,codecarbon,e78bcec7-13cc-4615-b902-264c88982dc1,5.805507659912109,9.706348072457628e-06,0.0016719206383072,42.5,7.422000000000001,2.9440126419067383,6.852540191676883e-05,1.084758721470833e-05,4.302425286261003e-06,8.367541441773816e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T22:56:48,codecarbon,5f3a7101-c3e5-49d7-aade-0544da7e7085,6.1835010051727295,1.0910815136276332e-05,0.0017645044655364,42.5,11.26,2.9440126419067383,7.299378481176165e-05,1.6699207005235883e-05,4.365759357798425e-06,9.405875117479596e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T22:58:29,codecarbon,cab62280-842c-47aa-b538-4064dac322e1,6.015644788742065,1.006485271613621e-05,0.0016731128697911,42.5,7.431,2.9440126419067383,7.098874780866836e-05,1.1300552445650102e-05,4.476671436510931e-06,8.67659716908294e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T23:00:26,codecarbon,4c3942a5-55c3-4d2a-a31e-8ffd5864d10c,5.950240135192871,1.05536058663078e-05,0.0017736436894182,42.5,11.646000000000004,2.9440126419067383,7.022791041268243e-05,1.656449384450913e-05,4.186956659254975e-06,9.097936091644652e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T23:05:22,codecarbon,c5e2eaf8-d9bd-413a-b17f-46ccd16a817a,6.238742113113403,1.1091664247856168e-05,0.001777868686789,42.5,11.58,2.9440126419067383,7.36457904179891e-05,1.751861272652944e-05,4.453392095620833e-06,9.561779524013935e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T23:09:18,codecarbon,b3496d77-b11e-436c-8463-ef5f5367bb5b,6.224411010742188,1.106995999541725e-05,0.0017784751001038,42.5,11.716,2.9440126419067383,7.347081121471194e-05,1.7550240087509155e-05,4.409638313444854e-06,9.543068961566596e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T23:20:51,codecarbon,4e5396bb-5578-4260-9353-2580f8e94dcb,1.539940595626831,2.430156015977889e-06,0.0015780842604442,42.5,7.182000000000001,2.9440126419067383,1.816254407167435e-05,1.9770472526550294e-06,8.100295030662135e-07,2.0949620827395594e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T23:22:34,codecarbon,d5d852ff-69c3-4f3c-b873-761e4ebb40e7,5.718627214431763,9.61576046567254e-06,0.0016814805555791,42.5,8.369,2.9440126419067383,6.749974687894186e-05,1.138883340160052e-05,4.0059064924967445e-06,8.289448677303912e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T23:26:04,codecarbon,dc90a393-b580-4dfe-ba61-90b198a153fb,5.983004093170166,1.0063224660190269e-05,0.0016819685401315,42.5,8.303,2.9440126419067383,7.062115834818946e-05,1.1908694961931972e-05,4.222083415656736e-06,8.675193672577817e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T23:38:50,codecarbon,c6a3863e-1c17-47c1-803d-04a2afb69e25,5.677038908004761,9.559764145799262e-06,0.0016839349352212,42.5,8.47,2.9440126419067383,6.701463957627614e-05,1.1426049663623176e-05,3.971070637680517e-06,8.241175987757984e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T23:39:51,codecarbon,6fad3aed-aa61-4de5-8583-f940c1cd62a8,5.769077062606812,9.619440630607289e-06,0.0016674141333554,42.5,7.278,2.9440126419067383,6.810123771429063e-05,1.0555549114545189e-05,4.269425503985645e-06,8.292621233282145e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T23:41:37,codecarbon,cf1b64b5-5e40-4ec8-8ea5-93e90a96cf8b,5.571986436843872,9.373857311702649e-06,0.001682318759737,42.5,8.452,2.9440126419067383,6.576899323198532e-05,1.115498110903634e-05,3.885140415035646e-06,8.08091147560573e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T23:42:06,codecarbon,61f20d67-cd76-4669-860d-ba8d71b510d7,5.659512519836426,9.515508046410391e-06,0.0016813299755162,42.5,8.381,2.9440126419067383,6.680186788241069e-05,1.1269656438032788e-05,3.958717458956472e-06,8.203024177939994e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T23:43:33,codecarbon,ead4723a-567e-4bc1-9671-f9813b32692c,6.428115129470825,1.073243035267846e-05,0.0016696076744913,42.5,7.253,2.9440126419067383,7.587564024660323e-05,1.183986605366071e-05,4.805445015929687e-06,9.25209513161936e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T23:52:06,codecarbon,4a9fcc70-683a-414d-9f59-032ebf900e31,20.80411553382873,3.5440526625492976e-05,0.0017035344073082,42.5,7.434,2.9440126419067383,0.0002455808925959,4.4081252997848725e-05,1.5859635660421152e-05,0.0003055217812542,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T23:54:33,codecarbon,89c30345-b2f7-47db-b15e-a3551da7c8ce,0.6559202671051025,9.330030645206788e-07,0.0014224336574298,42.5,7.234,2.9440126419067383,7.731670306788551e-06,2.216590982013279e-07,8.98004615676958e-08,8.043129866557575e-06,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T23:55:28,codecarbon,1b9048f1-45b3-44da-9a12-f575a2baaeae,12.856502294540403,2.199243248564688e-05,0.0017106077517666,42.5,8.382000000000001,2.9440126419067383,0.0001517663164271,2.7992271569172544e-05,9.831347224796333e-06,0.000189589935221,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-10-31T23:58:47,codecarbon,12761b4c-fa00-49d7-b1de-4d85640cd9ef,5.658559560775757,9.438997006773562e-06,0.0016680918359865,42.5,7.316,2.9440126419067383,6.679077529244953e-05,1.0396625881989797e-05,4.183262677056898e-06,8.137066385149622e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T00:01:08,codecarbon,e0bc010b-e039-42ca-ba80-1207685d246f,5.141892910003662,9.66527158199591e-06,0.0018797107896183,42.5,12.939,2.9440126419067383,6.069109489520391e-05,1.843589627365272e-05,4.194315572487426e-06,8.332130674134405e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T00:06:01,codecarbon,196863fd-5942-4bad-8c8c-8329d8968a46,5.754998445510864,9.594303119675276e-06,0.0016671252321812,42.5,7.265000000000001,2.9440126419067383,6.793540335363812e-05,1.051363986167643e-05,4.260466437058502e-06,8.270950965237305e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T00:06:56,codecarbon,ef40ba44-5655-4675-a4da-4b5bb855b544,5.751946449279785,9.67475825104762e-06,0.0016819972745502,42.5,8.385,2.9440126419067383,6.789903226825927e-05,1.147509624461333e-05,4.028959858227571e-06,8.340308837110017e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T00:07:26,codecarbon,7b3d3af8-4e1d-4839-9158-33632abf1b8b,5.864837169647217,9.866024051411396e-06,0.0016822332429742,42.5,8.361,2.9440126419067383,6.922627290089926e-05,1.1704680619835851e-05,4.120977956949332e-06,8.505193147768445e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T00:08:08,codecarbon,b41fe70e-18e7-48c6-bf0c-da96ca9d44c2,5.578602313995361,9.298635656667412e-06,0.001666839672966,42.5,7.303000000000001,2.9440126419067383,6.582308544052973e-05,1.0218319601615272e-05,4.119247170505105e-06,8.01606522126501e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
2022-11-01T00:09:08,codecarbon,75f4eaff-2d7f-4479-8b28-a549cec53c7e,5.503430128097534,1.0369009383861e-05,0.0018840993966512,42.5,13.067,2.9440126419067383,6.49651168121232e-05,1.993249027974076e-05,4.49040483797224e-06,8.938801192983621e-05,Denmark,DNK,capital region,,,Windows-10-10.0.19041-SP0,3.7.13,8,Intel(R) Core(TM) i5-9300H CPU @ 2.40GHz,1,1 x NVIDIA GeForce GTX 1650 with Max-Q Design,12.5892,55.6802,7.850700378417969,machine,N
